,count
2008-01-01 00:30:00,835
2008-01-01 02:30:00,830
2008-01-01 04:30:00,812
2008-01-01 06:30:00,792
2008-01-01 08:30:00,788
2008-01-01 10:30:00,793
2008-01-01 12:30:00,805
2008-01-01 14:30:00,816
2008-01-01 16:30:00,811
2008-01-01 18:30:00,804
2008-01-01 20:30:00,805
2008-01-01 22:30:00,813
2008-01-02 00:30:00,813
2008-01-02 02:30:00,807
2008-01-02 04:30:00,803
2008-01-02 06:30:00,767
2008-01-02 08:30:00,758
2008-01-02 10:30:00,749
2008-01-02 12:30:00,755
2008-01-02 14:30:00,753
2008-01-02 16:30:00,751
2008-01-02 18:30:00,751
2008-01-02 20:30:00,766
2008-01-02 22:30:00,765
2008-01-03 00:30:00,758
2008-01-03 02:30:00,751
2008-01-03 04:30:00,743
2008-01-03 06:30:00,767
2008-01-03 08:30:00,772
2008-01-03 10:30:00,785
2008-01-03 12:30:00,793
2008-01-03 14:30:00,786
2008-01-03 16:30:00,778
2008-01-03 18:30:00,762
2008-01-03 20:30:00,769
2008-01-03 22:30:00,774
2008-01-04 00:30:00,775
2008-01-04 02:30:00,781
2008-01-04 04:30:00,765
2008-01-04 06:30:00,764
2008-01-04 08:30:00,762
2008-01-04 10:30:00,768
2008-01-04 12:30:00,791
2008-01-04 14:30:00,790
2008-01-04 16:30:00,778
2008-01-04 18:30:00,779
2008-01-04 20:30:00,783
2008-01-04 22:30:00,779
2008-01-05 00:30:00,776
2008-01-05 02:30:00,780
2008-01-05 04:30:00,792
2008-01-05 06:30:00,800
2008-01-05 08:30:00,805
2008-01-05 10:30:00,813
2008-01-05 12:30:00,814
2008-01-05 14:30:00,815
2008-01-05 16:30:00,816
2008-01-05 18:30:00,805
2008-01-05 20:30:00,803
2008-01-05 22:30:00,788
2008-01-06 00:30:00,779
2008-01-06 02:30:00,782
2008-01-06 04:30:00,806
2008-01-06 06:30:00,826
2008-01-06 08:30:00,834
2008-01-06 10:30:00,851
2008-01-06 12:30:00,854
2008-01-06 14:30:00,850
2008-01-06 16:30:00,828
2008-01-06 18:30:00,808
2008-01-06 20:30:00,793
2008-01-06 22:30:00,777
2008-01-07 00:30:00,772
2008-01-07 02:30:00,777
2008-01-07 04:30:00,784
2008-01-07 06:30:00,793
2008-01-07 08:30:00,802
2008-01-07 10:30:00,806
2008-01-07 12:30:00,809
2008-01-07 14:30:00,802
2008-01-07 16:30:00,798
2008-01-07 18:30:00,778
2008-01-07 20:30:00,767
2008-01-07 22:30:00,754
2008-01-08 00:30:00,740
2008-01-08 02:30:00,752
2008-01-08 04:30:00,769
2008-01-08 06:30:00,786
2008-01-08 08:30:00,804
2008-01-08 10:30:00,806
2008-01-08 12:30:00,799
2008-01-08 14:30:00,801
2008-01-08 16:30:00,823
2008-01-08 18:30:00,815
2008-01-08 20:30:00,793
2008-01-08 22:30:00,789
2008-01-09 00:30:00,781
2008-01-09 02:30:00,784
2008-01-09 04:30:00,778
2008-01-09 06:30:00,789
2008-01-09 08:30:00,801
2008-01-09 10:30:00,812
2008-01-09 12:30:00,822
2008-01-09 14:30:00,824
2008-01-09 16:30:00,829
2008-01-09 18:30:00,808
2008-01-09 20:30:00,793
2008-01-09 22:30:00,780
2008-01-10 00:30:00,778
2008-01-10 02:30:00,769
2008-01-10 04:30:00,775
2008-01-10 06:30:00,789
2008-01-10 08:30:00,803
2008-01-10 10:30:00,815
2008-01-10 12:30:00,818
2008-01-10 14:30:00,814
2008-01-10 16:30:00,810
2008-01-10 18:30:00,819
2008-01-10 20:30:00,808
2008-01-10 22:30:00,806
2008-01-11 00:30:00,804
2008-01-11 02:30:00,802
2008-01-11 04:30:00,803
2008-01-11 06:30:00,806
2008-01-11 08:30:00,805
2008-01-11 10:30:00,811
2008-01-11 12:30:00,822
2008-01-11 14:30:00,832
2008-01-11 16:30:00,827
2008-01-11 18:30:00,829
2008-01-11 20:30:00,820
2008-01-11 22:30:00,806
2008-01-12 00:30:00,793
2008-01-12 02:30:00,787
2008-01-12 04:30:00,794
2008-01-12 06:30:00,804
2008-01-12 08:30:00,812
2008-01-12 10:30:00,823
2008-01-12 12:30:00,826
2008-01-12 14:30:00,826
2008-01-12 16:30:00,826
2008-01-12 18:30:00,834
2008-01-12 20:30:00,848
2008-01-12 22:30:00,838
2008-01-13 00:30:00,835
2008-01-13 02:30:00,815
2008-01-13 04:30:00,814
2008-01-13 06:30:00,815
2008-01-13 08:30:00,816
2008-01-13 10:30:00,828
2008-01-13 12:30:00,831
2008-01-13 14:30:00,823
2008-01-13 16:30:00,836
2008-01-13 18:30:00,842
2008-01-13 20:30:00,832
2008-01-13 22:30:00,824
2008-01-14 00:30:00,815
2008-01-14 02:30:00,817
2008-01-14 04:30:00,802
2008-01-14 06:30:00,796
2008-01-14 08:30:00,803
2008-01-14 10:30:00,819
2008-01-14 12:30:00,809
2008-01-14 14:30:00,802
2008-01-14 16:30:00,808
2008-01-14 18:30:00,807
2008-01-14 20:30:00,817
2008-01-14 22:30:00,821
2008-01-15 00:30:00,812
2008-01-15 02:30:00,805
2008-01-15 04:30:00,810
2008-01-15 06:30:00,817
2008-01-15 08:30:00,820
2008-01-15 10:30:00,831
2008-01-15 12:30:00,831
2008-01-15 14:30:00,848
2008-01-15 16:30:00,837
2008-01-15 18:30:00,834
2008-01-15 20:30:00,832
2008-01-15 22:30:00,830
2008-01-16 00:30:00,842
2008-01-16 02:30:00,829
2008-01-16 04:30:00,826
2008-01-16 06:30:00,826
2008-01-16 08:30:00,833
2008-01-16 10:30:00,839
2008-01-16 12:30:00,837
2008-01-16 14:30:00,843
2008-01-16 16:30:00,844
2008-01-16 18:30:00,844
2008-01-16 20:30:00,842
2008-01-16 22:30:00,845
2008-01-17 00:30:00,843
2008-01-17 02:30:00,833
2008-01-17 04:30:00,830
2008-01-17 06:30:00,828
2008-01-17 08:30:00,829
2008-01-17 10:30:00,832
2008-01-17 12:30:00,828
2008-01-17 14:30:00,834
2008-01-17 16:30:00,827
2008-01-17 18:30:00,834
2008-01-17 20:30:00,825
2008-01-17 22:30:00,839
2008-01-18 00:30:00,842
2008-01-18 02:30:00,843
2008-01-18 04:30:00,833
2008-01-18 06:30:00,845
2008-01-18 08:30:00,852
2008-01-18 10:30:00,866
2008-01-18 12:30:00,862
2008-01-18 14:30:00,855
2008-01-18 16:30:00,857
2008-01-18 18:30:00,853
2008-01-18 20:30:00,856
2008-01-18 22:30:00,851
2008-01-19 00:30:00,854
2008-01-19 02:30:00,864
2008-01-19 04:30:00,869
2008-01-19 06:30:00,868
2008-01-19 08:30:00,895
2008-01-19 10:30:00,905
2008-01-19 12:30:00,905
2008-01-19 14:30:00,897
2008-01-19 16:30:00,893
2008-01-19 18:30:00,886
2008-01-19 20:30:00,879
2008-01-19 22:30:00,875
2008-01-20 00:30:00,866
2008-01-20 02:30:00,879
2008-01-20 04:30:00,888
2008-01-20 06:30:00,890
2008-01-20 08:30:00,901
2008-01-20 10:30:00,925
2008-01-20 12:30:00,918
2008-01-20 14:30:00,924
2008-01-20 16:30:00,906
2008-01-20 18:30:00,879
2008-01-20 20:30:00,870
2008-01-20 22:30:00,864
2008-01-21 00:30:00,856
2008-01-21 02:30:00,871
2008-01-21 04:30:00,877
2008-01-21 06:30:00,884
2008-01-21 08:30:00,894
2008-01-21 10:30:00,901
2008-01-21 12:30:00,907
2008-01-21 14:30:00,909
