,BDE-17+25,BDE-28+33,BDE-47,BDE-49,BDE-66,BDE-85,BDE-99,BDE-100,BDE-138,BDE-140,BDE-153,BDE-154,BDE-155,BDE-183,BDE-203,BDE-206,BDE-207,BDE-208,BDE-209
alpha,0.00016327658542403508,9.166076700237162e-05,3.4721395482962305e-05,4.201127059853534e-05,6.436211900056921e-05,2.2491745257836057e-05,3.27168971046681e-05,2.265906801750074e-05,1.7825079635204958e-05,3.7493044691880976e-05,2.078924104488279e-05,2.5154964475226744e-05,4.87616951175601e-05,2.3860028698638307e-06,8.765958834624806e-06,1.3743761391901293e-05,2.9171129227070453e-05,0.0005275558221631045,1.9253896847764968e-05
beta,0.09727185811348744,0.10410707316617543,0.10931161267792197,0.1064432000828011,0.12380331101207986,0.12034422909703918,0.12087689306995683,0.11693017978559005,0.10900804690101913,0.13404939068115218,0.12458679748261095,0.126715170814956,0.13067802799557574,0.10369580166033833,0.08518067456297256,0.1582147968417958,0.11116959644209112,0.2122597970647242,0.308840992328715
