,Iona,NSoG,CSoG,SSoG,JdF
2015-08-08 16:00:00,0.053970393,0.05848574,0.042004596,0.52249366,0.13758013
2015-08-08 17:00:00,0.07074641,0.034077153,0.01456096,0.73973835,0.55897135
2015-08-08 18:00:00,0.06980815,0.025784094,0.01803572,1.1883929,0.3492211
2015-08-08 19:00:00,0.05212585,0.08472076,0.019797482,1.3567742,0.2960729
2015-08-08 20:00:00,0.028988855,0.15220927,0.012249744,1.3428638,0.15460338
2015-08-08 21:00:00,0.035262585,0.3285242,0.010891426,0.908659,0.12676224
2015-08-08 22:00:00,0.05459643,0.27117595,0.023497708,0.57104146,0.098142035
2015-08-08 23:00:00,0.07961448,0.109174,0.04865368,0.28579894,0.19097003
2015-08-09 00:00:00,0.06368721,0.059314907,0.07312047,0.17476755,0.09592234
2015-08-09 01:00:00,0.03703181,0.04643361,0.1029503,0.14470118,0.035006315
2015-08-09 02:00:00,0.047613937,0.15888214,0.114807144,0.030669814,0.1467367
2015-08-09 03:00:00,0.015630208,0.24271868,0.098342754,0.05991668,0.13318972
2015-08-09 04:00:00,0.026489578,0.20611481,0.05572369,0.07417031,0.07609003
2015-08-09 05:00:00,0.054379415,0.12909749,0.020215249,0.04597637,0.20017917
2015-08-09 06:00:00,0.0773179,0.059840355,0.006298052,0.16134089,0.34418795
2015-08-09 07:00:00,0.08431949,0.05052946,0.013078108,0.25550586,0.26571786
2015-08-09 08:00:00,0.04711602,0.06734927,0.018257251,0.2849078,0.37231043
2015-08-09 09:00:00,0.057060864,0.07290625,0.007385758,0.2991186,0.2380189
2015-08-09 10:00:00,0.04179675,0.051257417,0.022866106,0.38640425,0.29002473
2015-08-09 11:00:00,0.0240688,0.055306673,0.03198041,0.30650222,0.9926571
2015-08-09 12:00:00,0.03534109,0.026552858,0.044354025,0.34369957,0.6717619
2015-08-09 13:00:00,0.029105278,0.027248032,0.07183211,0.23261397,0.20879678
2015-08-09 14:00:00,0.014056994,0.10471592,0.08304386,0.33311146,0.16057938
2015-08-09 15:00:00,0.025776032,0.14273556,0.07878054,0.47361007,0.12884101
2015-08-09 16:00:00,0.032653693,0.13141824,0.06566124,0.62907714,0.13731441
2015-08-09 17:00:00,0.061111577,0.07722168,0.04000589,0.69634354,0.071317345
2015-08-09 18:00:00,0.06627771,0.027686307,0.016127668,1.0123485,0.5240507
2015-08-09 19:00:00,0.06869827,0.025021192,0.008753122,1.6239069,0.14357981
2015-08-09 20:00:00,0.038551506,0.07517742,0.016198482,1.8964164,0.27274543
2015-08-09 21:00:00,0.040151503,0.148128,0.017334824,1.6432375,0.22964287
2015-08-09 22:00:00,0.045028638,0.30818617,0.0048858006,1.1327214,0.07558263
2015-08-09 23:00:00,0.040361017,0.37323925,0.009970054,0.743087,0.10541404
