,Iona,NSoG,CSoG,SSoG,JdF
2015-08-08 15:00:00,0.003372518,0.09126333,0.0540879,0.33757254,0.22233826
2015-08-08 16:00:00,0.0093737235,0.03838801,0.032530155,0.4518935,0.09187983
2015-08-08 17:00:00,0.0165946,0.007594028,0.0025405441,0.83516675,0.15853548
2015-08-08 18:00:00,0.016231328,0.002257345,0.00400594,1.0747699,0.28084344
2015-08-08 19:00:00,0.01575259,0.071647026,0.0041047856,1.2609575,0.041178137
2015-08-08 20:00:00,0.015956284,0.13213184,0.0015764554,1.0616065,0.02247876
2015-08-08 21:00:00,0.015404808,0.33126783,0.004491034,0.75995463,0.03109721
2015-08-08 22:00:00,0.016056119,0.30634114,0.0091503365,0.4635872,0.01619794
2015-08-08 23:00:00,0.019182999,0.095764376,0.015771484,0.30545685,0.08097483
2015-08-09 00:00:00,0.02017471,0.020848855,0.025295908,0.1597232,0.0073886877
2015-08-09 01:00:00,0.012016423,0.03410881,0.03516987,0.015850803,0.0024397594
2015-08-09 02:00:00,0.005870737,0.19056356,0.04072659,0.022324968,0.003206154
2015-08-09 03:00:00,0.0015474205,0.23978402,0.029796887,0.03708585,0.019876001
2015-08-09 04:00:00,0.0023124286,0.15466283,0.015223145,0.026591118,0.09211466
2015-08-09 05:00:00,0.010430379,0.07020217,0.0014312075,0.025052223,0.24029726
2015-08-09 06:00:00,0.017006192,0.04435838,0.0012940234,0.19740365,0.29762435
2015-08-09 07:00:00,0.014589093,0.034227084,0.0019382482,0.31044132,0.40508863
2015-08-09 08:00:00,0.00619814,0.0051242574,0.0061153714,0.30569842,0.1299067
2015-08-09 09:00:00,0.0007608353,0.06363467,0.008488306,0.27496478,0.026798109
2015-08-09 10:00:00,0.00083727186,0.032902945,0.005683138,0.35620427,0.092072256
2015-08-09 11:00:00,0.0072616665,0.021790382,0.006656107,0.44233784,0.017866533
2015-08-09 12:00:00,0.006445573,0.011280332,0.017466681,0.45989478,0.19673842
2015-08-09 13:00:00,0.00547791,0.014779072,0.021609332,0.36019662,0.40898225
2015-08-09 14:00:00,0.00319902,0.15495436,0.025576534,0.21774045,0.29388508
2015-08-09 15:00:00,3.4516226e-05,0.14739625,0.034753002,0.25185612,0.0814128
2015-08-09 16:00:00,0.0043424573,0.08157625,0.034334697,0.5249768,0.039424352
2015-08-09 17:00:00,0.0069039296,0.044507895,0.021961149,0.7629286,0.009688493
2015-08-09 18:00:00,0.007424092,0.009568055,0.0066368277,1.1047702,0.40372407
2015-08-09 19:00:00,0.010887035,0.011446536,0.0002404517,1.6999534,0.1985553
2015-08-09 20:00:00,0.011792346,0.07175067,0.0033271413,1.7594863,0.099186175
2015-08-09 21:00:00,0.010162544,0.14057927,0.0013241057,1.6799238,0.03132978
2015-08-09 22:00:00,0.0074447067,0.30469182,0.0019370586,0.8997215,0.09222549
2015-08-09 23:00:00,0.00449698,0.3394258,0.000863379,0.7805048,0.013299175
